Date,Gold_USD,Silver_USD,Platinum_USD,Palladium_USD,Gold_Volume,Silver_Volume,Market_Sentiment,USD_Index
2022-01-03,1801.50,23.15,972.30,1915.80,145678,234567,Bearish,96.15
2022-01-04,1815.20,23.42,985.60,1942.50,156789,245678,Bearish,95.88
2022-01-05,1798.75,22.89,968.40,1889.30,142345,223456,Bearish,96.42
2022-01-06,1789.30,22.65,954.20,1867.80,138901,218901,Bearish,96.78
2022-01-07,1796.80,22.78,962.10,1875.40,147623,229834,Bearish,96.55
2022-02-24,1927.80,24.89,1056.90,2415.60,289456,345678,Bullish,92.34
2022-02-25,1889.50,24.12,1034.20,2356.80,267890,312345,Neutral,93.45
2022-03-08,2045.60,26.78,1123.40,2890.70,345678,456789,Bullish,89.67
2022-03-09,1987.30,25.89,1089.50,2678.90,312456,398765,Bullish,91.23
2022-06-15,1834.20,21.45,934.50,1896.30,167890,198765,Bearish,97.89
2022-07-14,1705.80,18.90,852.30,1756.90,145678,167890,Bearish,102.34
2022-09-28,1663.40,18.67,834.50,1698.70,134567,156789,Bearish,104.56
2022-11-03,1632.90,19.23,892.10,1867.40,156789,187654,Bearish,103.45
2022-12-30,1823.60,24.15,1067.80,2245.90,198765,267890,Bullish,95.67
2023-01-25,1945.80,23.89,1023.40,2134.50,223456,289012,Bullish,92.34
2023-02-02,1956.30,24.12,1045.60,2189.70,234567,298765,Bullish,91.78
2023-03-08,1814.20,20.45,945.30,1896.40,187654,223456,Bearish,98.45
2023-03-09,1834.50,20.78,956.70,1923.80,192345,234567,Bearish,97.89
2023-03-10,1867.90,21.12,978.40,1967.50,201234,245678,Bullish,96.78
2023-05-04,2056.80,26.34,1123.90,2456.70,278901,345678,Bullish,91.23
2023-05-05,2078.90,26.78,1145.20,2489.30,289012,356789,Bullish,90.67
2023-07-14,1967.30,25.12,1089.40,2234.50,245678,312345,Neutral,93.45
2023-08-25,1923.40,24.45,1056.70,2156.80,234567,298765,Bearish,94.78
2023-10-06,1834.50,21.89,987.60,1987.90,212345,267890,Bearish,97.34
2023-10-27,1998.70,23.45,1023.40,2234.50,256789,312345,Bullish,93.12
2023-12-04,2134.80,25.78,1156.90,2567.40,301234,378901,Bullish,89.45
2023-12-28,2067.90,24.23,1089.50,2345.60,278901,334567,Bullish,91.78
2024-01-05,2045.60,23.89,1056.70,2289.30,267890,323456,Neutral,92.45
2024-01-12,2056.80,24.12,1078.90,2312.40,278901,334567,Bullish,91.89
2024-01-19,2034.20,23.67,1034.50,2256.70,256789,312345,Bearish,93.23
2024-02-02,2056.90,24.34,1089.60,2345.80,289012,345678,Bullish,91.45
2024-02-16,2012.30,22.89,1012.30,2189.40,245678,298765,Bearish,94.67
2024-02-23,2034.50,23.45,1045.60,2267.90,267890,323456,Bullish,92.89
2024-03-08,2189.70,24.78,1156.40,2456.30,312456,389012,Bullish,88.45
2024-03-15,2167.80,24.45,1123.70,2398.50,298765,367890,Bullish,89.78
2024-04-05,2301.20,26.89,1256.90,2678.40,345678,423456,Bullish,86.23
2024-04-12,2278.90,26.34,1223.50,2589.70,334567,412345,Bullish,87.45
2024-05-10,2356.80,27.45,1289.30,2789.10,367890,445678,Bullish,85.12
2024-05-24,2312.40,26.78,1245.60,2678.90,345678,423456,Bullish,86.78
2024-06-07,2289.50,26.12,1212.30,2567.40,323456,398765,Neutral,88.45
2024-06-21,2256.70,25.67,1189.50,2456.80,312345,387654,Bearish,90.12
2024-07-05,2323.80,26.89,1267.90,2678.30,356789,434567,Bullish,86.89
2024-07-19,2298.60,26.34,1234.50,2567.90,334567,412345,Neutral,88.45
2024-08-02,2345.90,27.12,1289.60,2789.40,367890,445678,Bullish,85.67
2024-08-16,2312.30,26.56,1256.30,2678.10,345678,423456,Bullish,87.23
2024-09-06,2289.40,26.23,1223.70,2567.50,323456,401234,Neutral,89.45
2024-09-20,2267.80,25.89,1198.40,2456.90,312345,389012,Bearish,91.78
2024-10-04,2334.50,27.45,1298.70,2890.30,378901,456789,Bullish,84.56
2024-10-18,2301.20,26.78,1267.40,2789.60,356789,434567,Bullish,86.89
2024-11-08,2356.90,28.12,1345.80,2987.40,401234,478901,Bullish,83.45
2024-11-22,2323.70,27.56,1312.50,2876.90,378901,456789,Bullish,85.67
2024-12-06,2389.40,28.78,1389.20,3123.50,423456,501234,Bullish,81.23
2024-12-20,2367.90,28.23,1356.70,3012.80,401234,478901,Bullish,83.45
2025-01-03,2423.50,29.45,1456.30,3234.70,456789,534567,Bullish,79.89
2025-01-17,2398.60,28.89,1423.80,3123.40,434567,512345,Bullish,81.45
2025-02-07,2456.80,30.12,1489.50,3345.90,478901,556789,Bullish,78.67
2025-02-21,2434.20,29.67,1467.20,3234.60,456789,534567,Bullish,80.23
2025-03-07,2489.70,30.78,1523.80,3456.30,501234,578901,Bullish,77.45
2025-03-21,2467.30,30.23,1498.50,3345.70,478901,556789,Bullish,79.12
